,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,Comedy,Crime,Western,Film-Noir,Horror,Thriller,News,War,Fantasy,Romance,Documentary,Animation,History,Adventure,Action,Sport,Family,Mystery,Sci-Fi,Short,Drama,Biography,Music,Musical
5477,tt0259393,movie,Lantana,Lantana,0,2001,\N,121,"['Drama', 'Mystery', 'Romance']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5478,tt0259446,movie,My Big Fat Greek Wedding,My Big Fat Greek Wedding,0,2002,\N,95,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5479,tt0259484,movie,Paid in Full,Paid in Full,0,2002,\N,97,"['Action', 'Crime', 'Drama']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5480,tt0259685,video,Tremors 3: Back to Perfection,Tremors 3: Back to Perfection,0,2001,\N,104,"['Action', 'Comedy', 'Horror']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5481,tt0259711,movie,Vanilla Sky,Vanilla Sky,0,2001,\N,136,"['Fantasy', 'Mystery', 'Romance']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5482,tt0259974,movie,Digimon: The Movie,Digimon: The Movie,0,2000,\N,82,"['Action', 'Adventure', 'Animation']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
5483,tt0260414,movie,Taking Sides,Taking Sides,0,2001,\N,108,"['Drama', 'Music', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5484,tt0260866,movie,Don't Say a Word,Don't Say a Word,0,2001,\N,113,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5485,tt0260991,movie,Joint Security Area,Gongdong gyeongbi guyeok JSA,0,2000,\N,110,"['Action', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5486,tt0261289,movie,Serving Sara,Serving Sara,0,2002,\N,99,"['Comedy', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5487,tt0261392,movie,Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,0,2001,\N,104,['Comedy'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5488,tt0261983,movie,Session 9,Session 9,0,2001,\N,100,"['Horror', 'Mystery']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5489,tt0262210,movie,Adanggaman,Adanggaman,0,2000,\N,90,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5490,tt0262240,movie,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,0,2000,\N,288,"['Biography', 'Documentary']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5491,tt0262396,movie,Empire,Empire,0,2002,\N,90,"['Crime', 'Drama', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5492,tt0262432,movie,George Washington,George Washington,0,2000,\N,89,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5493,tt0262911,movie,World Traveler,World Traveler,0,2001,\N,103,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5494,tt0263124,movie,Brainstorm,Bicho de Sete Cabeças,0,2000,\N,74,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5495,tt0263488,movie,Jeepers Creepers,Jeepers Creepers,0,2001,\N,90,"['Horror', 'Mystery']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
